# file...... 1Meter_684_C_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_684_C_24:measured_power,house_meter_684_C_25:measured_power,house_meter_684_C_26:measured_power,house_meter_684_C_27:measured_power,house_meter_684_C_28:measured_power,house_meter_684_C_29:measured_power,house_meter_684_C_30:measured_power,house_meter_684_C_31:measured_power,house_meter_684_C_32:measured_power,house_meter_684_C_33:measured_power,house_meter_684_C_34:measured_power,house_meter_684_C_35:measured_power,house_meter_684_C_36:measured_power,house_meter_684_C_37:measured_power,house_meter_684_C_38:measured_power,house_meter_684_C_39:measured_power,house_meter_684_C_40:measured_power
2021-01-06 08:00:00 UTC,+960.201+0.00480133d,+320.022+0.00160164d,+3202.24+0.0160467d,+3723.03+0.0186607d,+520.059+0.00260301d,+560.068+0.00280332d,+600.079+0.00300364d,+520.059+0.00260301d,+640.089+0.00320396d,+720.113+0.00360262d,+1000.22+0.00500456d,+1800.71+0.00901292d,+1280.36+0.00640701d,+800.14+0.00400312d,+680.101+0.00340239d,+520.059+0.00260155d,+440.042+0.0022012d
2021-01-06 08:15:00 UTC,+280.017+0.00139727d,+1000.22+0.00499768d,+3763.09+0.0188253d,+3362.46+0.0168182d,+560.068+0.0027979d,+920.184+0.00459763d,+480.05+0.00239807d,+560.068+0.0027979d,+400.035+0.00199829d,+640.089+0.00319516d,+680.101+0.00339495d,+1840.74+0.00919329d,+1160.29+0.0057932d,+800.139+0.00399437d,+440.042+0.00219639d,+640.089+0.00319516d,+720.113+0.00359475d
2021-01-06 08:30:00 UTC,+2441.29+0.0121475d,+360.028+0.00178996d,+3402.51+0.0169386d,+3162.17+0.0157405d,+1280.36+0.00636809d,+1160.29+0.00577063d,+440.042+0.00218784d,+440.042+0.00218784d,+800.139+0.00397881d,+1000.22+0.00497104d,+560.068+0.00278299d,+2321.17+0.0115427d,+1000.22+0.00497104d,+1000.22+0.00497104d,+400.035+0.00198764d,+560.059+0.00241381d,+1000.22+0.00497104d
2021-01-06 08:45:00 UTC,+1360.4+0.00674853d,+400.035+0.0019866d,+3202.22+0.0159218d,+3883.27+0.0193137d,+720.112+0.00357662d,+760.125+0.00377542d,+560.068+0.00278153d,+3441.95+0.0130071d,+520.059+0.00258278d,+1080.25+0.00536213d,+600.078+0.00297803d,+2281.13+0.0113289d,+1240.33+0.00615716d,+1080.25+0.00536213d,+560.068+0.00277943d,+1680.32+0.00440802d,+1120.27+0.00556088d
2021-01-06 09:00:00 UTC,+1160.29+0.00577147d,+880.168+0.00438544d,+4524.45+0.0225788d,+3162.17+0.0157712d,+520.059+0.00259079d,+760.125+0.00378713d,+520.059+0.00259079d,+5525.59+0.02321d,+800.139+0.00398655d,+1280.36+0.00637679d,+1240.33+0.00617736d,+1640.58+0.00817218d,+1080.25+0.00537972d,+1040.23+0.00518033d,+880.168+0.0043829d,+5645.39+0.0219002d,+960.2+0.0047816d
2021-01-06 09:15:00 UTC,+1160.29+0.00575215d,+280.017+0.00138828d,+4644.67+0.0230711d,+3242.27+0.0160953d,+680.1+0.00337242d,+880.167+0.00436487d,+640.088+0.00317396d,+4122.87+0.0159608d,+800.138+0.00396786d,+840.152+0.0041642d,+1480.47+0.00733996d,+1480.47+0.00733996d,+1480.47+0.00733996d,+960.199+0.00475945d,+680.1+0.00337067d,+5044.22+0.0192036d,+680.1+0.00337067d
2021-01-06 09:30:00 UTC,+1680.61+0.00833586d,+1160.29+0.00574671d,+4003.46+0.0198528d,+3763.06+0.0186587d,+600.078+0.00297136d,+680.1+0.00336771d,+520.058+0.00257504d,+920.1+0.00248938d,+800.138+0.00396232d,+800.138+0.00396201d,+1120.27+0.00554796d,+2321.16+0.0115012d,+2241.08+0.011104d,+880.167+0.00435844d,+600.078+0.00297112d,+3762.38+0.0145011d,+320.022+0.00158431d
2021-01-06 09:45:00 UTC,+1440.45+0.00710156d,+1840.73+0.0090727d,+4003.44+0.0197508d,+3082.04+0.0151991d,+1920.79+0.00946766d,+560.067+0.00275898d,+760.124+0.00374481d,+3161.56+0.011306d,+720.111+0.00354763d,+800.137+0.00393971d,+1080.25+0.00531956d,+2801.68+0.0138068d,+1440.45+0.00709439d,+4603.05+0.0152061d,+440.042+0.00216634d,+1400.24+0.00392395d,+480.049+0.00236334d
2021-01-06 10:00:00 UTC,+1320.37+0.00649762d,+1640.58+0.00807421d,+3843.17+0.0189323d,+3122.09+0.0153754d,+1320.37+0.00649742d,+560.067+0.00275513d,+600.077+0.002952d,+4163.07+0.016948d,+520.058+0.00255827d,+720.111+0.00354048d,+600.077+0.00295017d,+2120.96+0.0104341d,+1120.27+0.00550883d,+6446.9+0.0245723d,+320.022+0.00157314d,+480.042+0.0019994d,+760.124+0.00373727d
2021-01-06 10:15:00 UTC,+1600.55+0.00791934d,+2161.01+0.0106919d,+4043.53+0.0200222d,+3442.56+0.0170419d,+1640.58+0.00811517d,+520.058+0.00257124d,+760.124+0.00375855d,+2601.11+0.00980174d,+360.028+0.0017799d,+560.067+0.00276676d,+480.05+0.00237139d,+2761.64+0.0136556d,+1240.33+0.00612909d,+4442.77+0.014314d,+400.034+0.00197605d,+360.028+0.0017784d,+960.198+0.00474424d
2021-01-06 10:30:00 UTC,+1720.64+0.00853587d,+2561.42+0.0127103d,+3923.33+0.0194799d,+4484.35+0.0222708d,+1920.8+0.00952876d,+440.042+0.00218158d,+720.112+0.0035705d,+520.038+0.00166293d,+400.035+0.0019832d,+520.058+0.00257497d,+480.05+0.00237683d,+2841.74+0.0140845d,+960.199+0.00475514d,+1280.22+0.00396319d,+520.058+0.00257497d,+600.068+0.00260151d,+1040.23+0.00515167d
2021-01-06 10:45:00 UTC,+1600.55+0.00789142d,+2080.93+0.0102612d,+4163.73+0.0205501d,+4604.56+0.0227301d,+2120.97+0.0104588d,+520.058+0.00256273d,+600.077+0.00295715d,+440.042+0.00216836d,+600.077+0.00295715d,+360.028+0.001773d,+680.099+0.0033497d,+2361.2+0.011638d,+920.182+0.00453264d,+3601.73+0.0110048d,+800.137+0.00394112d,+2520.81+0.00735441d,+960.198+0.00472984d
2021-01-06 11:00:00 UTC,+1320.37+0.00650545d,+1480.47+0.00729538d,+4724.8+0.0233151d,+4604.56+0.0227206d,+3242.26+0.0159891d,+480.049+0.00236455d,+480.049+0.00236455d,+640.088+0.00315305d,+800.137+0.00394172d,+400.034+0.00196903d,+680.099+0.00334795d,+2241.08+0.0110396d,+1160.29+0.00571298d,+4162.57+0.0141489d,+2200.58+0.00606706d,+1480.24+0.00371125d,+680.099+0.00334795d
2021-01-06 11:15:00 UTC,+1240.33+0.00607418d,+1400.42+0.00686015d,+4203.78+0.0206175d,+4684.69+0.0229809d,+3282.3+0.0160918d,+320.022+0.00156695d,+360.028+0.00176287d,+720.111+0.00352654d,+760.123+0.00372256d,+560.067+0.00274405d,+640.087+0.00313622d,+2161+0.0105951d,+1160.29+0.00568629d,+4643.46+0.0170922d,+4763.66+0.0176585d,+3922.53+0.0148193d,+640.087+0.00313622d
2021-01-06 11:30:00 UTC,+1240.33+0.00610152d,+1600.55+0.00787477d,+4203.79+0.020706d,+5005.38+0.0246627d,+3282.31+0.0161608d,+480.049+0.00236073d,+280.017+0.00137691d,+1040.23+0.00511676d,+680.099+0.0033448d,+800.137+0.00393449d,+640.088+0.00314727d,+2361.19+0.0116184d,+2321.15+0.0114212d,+2881.07+0.00849096d,+2600.96+0.0084742d,+3201.1+0.00789816d,+640.088+0.00314727d
2021-01-06 11:45:00 UTC,+1600.55+0.00788982d,+1320.37+0.00650488d,+4043.51+0.0199439d,+4804.96+0.0237074d,+3242.26+0.0159863d,+600.077+0.00295539d,+560.067+0.0027583d,+880.166+0.00433536d,+1040.23+0.00512414d,+760.124+0.00373953d,+640.088+0.00314884d,+2481.32+0.0122162d,+2241.08+0.0110323d,+880.127+0.00331032d,+1920.4+0.00480007d,+760.124+0.00373953d,+840.151+0.00413338d
2021-01-06 12:00:00 UTC,+1360.4+0.00670048d,+1240.33+0.00609968d,+4003.44+0.0197114d,+4885.12+0.0240616d,+3562.72+0.0175382d,+560.067+0.00275349d,+720.111+0.00354056d,+840.151+0.00413098d,+600.077+0.00295024d,+560.067+0.00275025d,+680.099+0.00333985d,+2721.59+0.0133769d,+2201.04+0.010816d,+1120.27+0.00550248d,+1080.25+0.00530583d,+1160.21+0.00407264d,+840.151+0.00412612d
2021-01-06 12:15:00 UTC,+1320.38+0.00656228d,+1240.33+0.00616247d,+4123.68+0.0205137d,+4965.34+0.0247097d,+5125.7+0.0255094d,+440.042+0.00218554d,+760.125+0.00377582d,+600.078+0.0029806d,+760.125+0.00377582d,+400.035+0.00198536d,+880.167+0.00436916d,+2721.6+0.0135208d,+2000.87+0.00993715d,+1200.31+0.00595919d,+1120.27+0.00556162d,+5363.13+0.0133848d,+640.089+0.00317708d
2021-01-06 12:30:00 UTC,+1280.35+0.00634448d,+1200.31+0.0059463d,+4043.53+0.0200562d,+4243.89+0.0210518d,+3162.16+0.0156785d,+480.05+0.00237741d,+440.042+0.00217924d,+960.199+0.0047563d,+960.199+0.0047563d,+280.017+0.00138684d,+720.112+0.00356717d,+2961.89+0.0146864d,+1640.58+0.00813007d,+1960.83+0.00971844d,+2881.79+0.0142887d,+5122.89+0.0129643d,+640.088+0.00317065d
2021-01-06 12:45:00 UTC,+1280.35+0.00630304d,+1400.42+0.00689669d,+4203.8+0.0207275d,+4003.44+0.0197379d,+3001.93+0.0147939d,+1200.31+0.00591069d,+360.028+0.00177225d,+1000.21+0.00492494d,+960.198+0.00472782d,+440.042+0.00216621d,+560.067+0.00275721d,+3602.79+0.0177597d,+3242.26+0.01598d,+2921.83+0.0143987d,+2481.32+0.0122256d,+2320.62+0.00615174d,+600.077+0.00295423d
2021-01-06 13:00:00 UTC,+1280.35+0.00631915d,+1240.33+0.00612301d,+4163.73+0.0205806d,+4043.52+0.0199853d,+2601.46+0.0128499d,+1640.58+0.00810027d,+400.034+0.00197409d,+1120.27+0.00553004d,+800.138+0.00394921d,+640.088+0.00315877d,+360.028+0.00177648d,+2841.74+0.014037d,+3562.73+0.0176038d,+2521.37+0.0124528d,+2281.12+0.011265d,+2760.87+0.00723265d,+600.077+0.00296127d
2021-01-06 13:15:00 UTC,+1280.35+0.00627153d,+1120.27+0.00548248d,+4003.42+0.0196164d,+1600.55+0.00783452d,+3482.59+0.0170606d,+880.165+0.004307d,+480.049+0.00234868d,+800.136+0.00391526d,+560.067+0.00274026d,+520.058+0.00254714d,+480.049+0.00235114d,+3362.41+0.0164884d,+1600.55+0.00784274d,+2441.27+0.0119666d,+2201.03+0.0107879d,+7085.97+0.0193376d,+640.087+0.00313517d
