# file...... 1Meter_652_A_power.real.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_20:measured_power.real,house_meter_652_A_21:measured_power.real,house_meter_652_A_22:measured_power.real,house_meter_652_A_23:measured_power.real,house_meter_652_A_24:measured_power.real,house_meter_652_A_25:measured_power.real,house_meter_652_A_26:measured_power.real,house_meter_652_A_27:measured_power.real,house_meter_652_A_28:measured_power.real,house_meter_652_A_29:measured_power.real,house_meter_652_A_30:measured_power.real,house_meter_652_A_31:measured_power.real,house_meter_652_A_32:measured_power.real,house_meter_652_A_33:measured_power.real,house_meter_652_A_34:measured_power.real,house_meter_652_A_35:measured_power.real,house_meter_652_A_36:measured_power.real,house_meter_652_A_37:measured_power.real,house_meter_652_A_38:measured_power.real,house_meter_652_A_39:measured_power.real,house_meter_652_A_40:measured_power.real
2021-01-06 07:30:00 UTC,1.8407e+03,4.8005e+02,2.2410e+03,2.9217e+03,1.8407e+03,1.3604e+03,8.8016e+02,5.5662e+03,6.8495e+03,8.6150e+03,2.8416e+03,8.3340e+03,2.2010e+03,2.7215e+03,7.2010e+02,2.8416e+03,7.9773e+02,2.4012e+03,2.7215e+03,4.0003e+02,8.0129e+03
2021-01-06 07:45:00 UTC,1.7206e+03,5.2005e+02,2.4812e+03,2.4412e+03,1.8807e+03,4.4440e+03,2.5213e+03,7.2906e+03,7.2505e+03,9.2973e+03,2.8016e+03,9.0966e+03,7.6012e+02,4.4840e+03,8.7754e+03,9.0565e+03,6.6729e+02,1.0002e+03,2.8016e+03,3.5625e+03,1.7461e+04
2021-01-06 08:00:00 UTC,1.8006e+03,4.8005e+02,2.9217e+03,2.3611e+03,2.0809e+03,2.6014e+03,6.8009e+02,4.9649e+03,7.0500e+03,7.4110e+03,1.8407e+03,2.8817e+03,7.6012e+02,5.6865e+03,1.3678e+04,3.8029e+03,7.2010e+02,2.4812e+03,1.1145e+04,1.5569e+04,1.3235e+04
2021-01-06 08:15:00 UTC,1.7206e+03,4.0003e+02,1.7606e+03,2.8817e+03,1.8007e+03,3.6828e+03,9.4582e+03,4.5242e+03,6.0474e+03,8.2940e+03,9.1370e+03,2.7215e+03,1.7206e+03,2.6815e+03,8.1736e+03,2.9217e+03,3.2021e+03,1.4804e+03,1.6455e+04,2.0244e+04,1.0302e+04
2021-01-06 08:30:00 UTC,1.7206e+03,3.6003e+02,2.6414e+03,2.4012e+03,1.8407e+03,3.6026e+03,8.8016e+02,5.0051e+03,5.7267e+03,8.0131e+03,9.1772e+03,2.7616e+03,1.2793e+04,1.0802e+03,7.6012e+02,2.8016e+03,4.9650e+03,1.2803e+03,1.6617e+04,1.7865e+04,1.8407e+03
2021-01-06 08:45:00 UTC,1.8007e+03,3.6003e+02,2.0809e+03,2.1610e+03,1.8407e+03,3.3623e+03,7.6012e+02,7.3712e+03,1.1146e+04,6.6090e+03,0.0000e+00,7.6119e+03,1.3880e+04,0.0000e+00,6.4008e+02,7.0502e+03,5.1254e+03,2.2410e+03,1.5650e+04,1.3075e+04,3.9632e+03
2021-01-06 09:00:00 UTC,1.9208e+03,7.2011e+02,1.8807e+03,2.8016e+03,1.9208e+03,1.6806e+03,6.8009e+02,3.1621e+03,9.8600e+03,9.2978e+03,3.4825e+03,1.1226e+04,1.3759e+04,1.2834e+04,6.4008e+02,3.3623e+03,3.6027e+03,7.2011e+02,8.6152e+03,5.5263e+03,2.1209e+03
2021-01-06 09:15:00 UTC,1.8407e+03,1.0002e+03,2.1610e+03,2.4813e+03,2.0008e+03,4.5242e+03,5.1254e+03,5.0052e+03,6.9700e+03,9.0168e+03,3.9232e+03,2.8016e+03,1.3598e+04,7.3311e+03,8.2139e+03,5.8470e+03,3.8831e+03,1.5205e+03,4.0834e+03,9.2017e+02,1.5605e+03
2021-01-06 09:30:00 UTC,2.4012e+03,1.0002e+03,2.2811e+03,2.1610e+03,1.8407e+03,2.0008e+03,1.0342e+04,4.8448e+03,7.0102e+03,5.7669e+03,7.9731e+03,3.0019e+03,1.0664e+04,3.2422e+03,1.7947e+04,5.2858e+03,1.0864e+04,1.8007e+03,3.2002e+02,6.0007e+02,8.4015e+02
2021-01-06 09:45:00 UTC,6.5288e+03,7.6012e+02,2.2811e+03,2.8817e+03,1.8007e+03,3.6828e+03,2.6414e+03,3.0419e+03,6.8497e+03,6.5288e+03,1.0382e+04,3.4825e+03,1.3204e+03,2.0008e+03,1.5852e+04,5.5664e+03,3.9232e+03,5.2006e+02,2.8002e+02,5.6006e+02,1.7206e+03
2021-01-06 10:00:00 UTC,6.7293e+03,2.2811e+03,1.9208e+03,4.0033e+03,1.8407e+03,3.2422e+03,2.6815e+03,6.8898e+03,8.3745e+03,4.8448e+03,3.0820e+03,5.2457e+03,7.2011e+02,6.1678e+03,8.8963e+03,1.1226e+04,5.2922e+03,2.0409e+03,3.2002e+02,1.2003e+03,1.0002e+03
