# file...... 1Meter_652_A_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_652_A_24:measured_power,house_meter_652_A_25:measured_power,house_meter_652_A_26:measured_power,house_meter_652_A_27:measured_power,house_meter_652_A_28:measured_power,house_meter_652_A_29:measured_power,house_meter_652_A_30:measured_power,house_meter_652_A_31:measured_power,house_meter_652_A_32:measured_power,house_meter_652_A_33:measured_power,house_meter_652_A_34:measured_power,house_meter_652_A_35:measured_power,house_meter_652_A_36:measured_power,house_meter_652_A_37:measured_power,house_meter_652_A_38:measured_power,house_meter_652_A_39:measured_power,house_meter_652_A_40:measured_power
2021-01-06 10:15:00 UTC,+1920.75+0.00898072d,+3041.89+0.0142902d,+2721.52+0.0127835d,+5045.21+0.0237209d,+7050.19+0.0331749d,+5606.44+0.0263657d,+3081.94+0.0144786d,+15127.1+0.0714183d,+1840.69+0.00864297d,+5686.6+0.0266329d,+3522.53+0.016483d,+4924.95+0.0230586d,+4003.27+0.0187362d,+960.188+0.00448833d,+440.039+0.00205649d,+1080.24+0.00504974d,+800.13+0.00373991d
2021-01-06 10:30:00 UTC,+1960.78+0.00914083d,+2641.42+0.0123449d,+7010.02+0.0328203d,+3162.04+0.0147811d,+5606.41+0.0262337d,+5365.87+0.0251057d,+2361.13+0.0110337d,+2961.79+0.0138439d,+4323.81+0.0202215d,+2841.64+0.0132514d,+3562.58+0.0166182d,+4604.31+0.0214867d,+4203.59+0.0196135d,+1240.31+0.00578018d,+520.055+0.00242288d,+480.047+0.00223645d,+3682.76+0.0171797d
2021-01-06 10:45:00 UTC,+2921.76+0.0137928d,+2921.76+0.0138617d,+7050.29+0.0335058d,+5005.18+0.0237664d,+8294.25+0.0394379d,+5205.61+0.0247202d,+7130.53+0.0338882d,+2961.81+0.0140519d,+13960.5+0.0665366d,+2761.57+0.0130496d,+3522.55+0.0166508d,+5486.2+0.0259538d,+10342.1+0.049024d,+2921.76+0.0138075d,+2120.93+0.0100196d,+320.021+0.00151072d,+4444.07+0.0210147d
2021-01-06 11:00:00 UTC,+1800.67+0.0085333d,+2881.72+0.0137274d,+2721.54+0.0129634d,+5927.3+0.0282711d,+5807.01+0.0276959d,+5686.72+0.0271209d,+11949.7+0.0571393d,+2801.63+0.0133454d,+13518.1+0.064681d,+1920.76+0.00911519d,+10864.5+0.0517504d,+10703.8+0.0509814d,+3883.12+0.0184427d,+400.033+0.00189721d,+2721.53+0.0129196d,+360.027+0.00170745d,+2681.49+0.0127293d
2021-01-06 11:15:00 UTC,+1840.7+0.00876405d,+2361.16+0.0112483d,+2761.58+0.013158d,+3122.02+0.0148776d,+7010.22+0.0334604d,+6047.6+0.0288542d,+2921.77+0.0139222d,+2681.49+0.012776d,+3081.97+0.0146865d,+7692.33+0.0367938d,+15570.7+0.0747236d,+7130.59+0.0340989d,+3919.2+0.0187167d,+2801.63+0.0133734d,+480.048+0.00228927d,+440.04+0.00209844d,+1440.43+0.00687192d
2021-01-06 11:30:00 UTC,+2000.82+0.0094525d,+2881.71+0.0136547d,+2881.71+0.0136547d,+3041.91+0.0144147d,+4965.09+0.0235468d,+6328.28+0.0300286d,+2881.71+0.0136547d,+13839.7+0.0658766d,+800.132+0.00378807d,+2841.66+0.0134188d,+3682.79+0.0173967d,+5085.32+0.0240359d,+3963.23+0.0187236d,+360.027+0.00169837d,+2681.48+0.0126615d,+360.027+0.00169837d,+560.064+0.00264223d
2021-01-06 11:45:00 UTC,+2080.89+0.00981128d,+2961.81+0.0140082d,+13638.5+0.0647904d,+3001.86+0.0141978d,+5686.67+0.026926d,+5967.35+0.0282582d,+2641.44+0.0124913d,+2841.66+0.0134393d,+800.132+0.00378094d,+4243.7+0.0200413d,+3482.49+0.0164413d,+4564.29+0.0215582d,+8936.46+0.0422852d,+1320.36+0.00622803d,+2521.31+0.0118987d,+360.027+0.00169755d,+1480.45+0.00698364d
2021-01-06 12:00:00 UTC,+1840.7+0.00870863d,+2281.07+0.0108129d,+5045.26+0.0239433d,+5806.97+0.0275669d,+7772.5+0.0369277d,+5646.59+0.0268037d,+5205.6+0.0247059d,+2881.72+0.0136635d,+720.107+0.00341131d,+2721.53+0.0128719d,+3442.44+0.0162864d,+5766.86+0.0273096d,+5205.59+0.0246459d,+400.033+0.00189021d,+640.084+0.00302479d,+3883.11+0.0183746d,+440.04+0.00207928d
2021-01-06 12:15:00 UTC,+1800.67+0.00857939d,+4925.05+0.0235604d,+2841.68+0.0135822d,+3081.98+0.0147322d,+4203.68+0.0201034d,+5446.18+0.026059d,+16738.7+0.0804717d,+2881.73+0.0137738d,+12633.4+0.0606305d,+5085.37+0.0242431d,+3482.52+0.0165909d,+11427.2+0.0546201d,+4123.53+0.0196499d,+1040.22+0.00495066d,+2921.77+0.0139162d,+4844.87+0.0230943d,+1440.43+0.00685646d
2021-01-06 12:30:00 UTC,+1840.7+0.00877356d,+2961.82+0.0141138d,+2761.58+0.0131585d,+5005.2+0.0238712d,+4524.25+0.0215731d,+5285.81+0.0252124d,+3081.97+0.014687d,+2921.77+0.0139227d,+14121.6+0.0676066d,+7772.58+0.0371412d,+17947.3+0.0861274d,+5967.41+0.0284937d,+3963.26+0.0189084d,+3122.02+0.0148897d,+600.075+0.00285891d,+4925.04+0.0235063d,+360.027+0.00171509d
