# file...... 1Meter_632_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_B_24:measured_power,house_meter_632_B_25:measured_power,house_meter_632_B_26:measured_power,house_meter_632_B_27:measured_power,house_meter_632_B_28:measured_power,house_meter_632_B_29:measured_power,house_meter_632_B_30:measured_power,house_meter_632_B_31:measured_power,house_meter_632_B_32:measured_power,house_meter_632_B_33:measured_power,house_meter_632_B_34:measured_power,house_meter_632_B_35:measured_power,house_meter_632_B_36:measured_power,house_meter_632_B_37:measured_power,house_meter_632_B_38:measured_power,house_meter_632_B_39:measured_power,house_meter_632_B_40:measured_power
2021-01-06 08:00:00 UTC,+640.083+0.00298066d,+760.117+0.00353784d,+1640.55+0.00763838d,+1280.31+0.00559947d,+1360.38+0.00633319d,+920.172+0.00428307d,+880.157+0.00409675d,+640.083+0.00297902d,+720.105+0.00335156d,+3362.3+0.0156982d,+3843+0.0179461d,+4444.02+0.0207578d,+2801.6+0.0130774d,+640.083+0.00298518d,+640.083+0.00298518d,+240.012+0.00111917d,+3442.41+0.0160728d
2021-01-06 08:15:00 UTC,+760.117+0.00353552d,+840.143+0.00390235d,+2040.81+0.00911942d,+1160.27+0.00539001d,+1280.33+0.00594803d,+960.187+0.00446015d,+800.13+0.00371643d,+600.073+0.00278699d,+760.117+0.00353053d,+3722.75+0.016981d,+920.172+0.00428357d,+4924.93+0.0229638d,+2921.73+0.0136123d,+800.13+0.00372457d,+1880.72+0.0087585d,+400.032+0.00186183d,+4764.61+0.0222148d
2021-01-06 08:30:00 UTC,+1200.29+0.0055641d,+880.156+0.00407689d,+1760.63+0.00815813d,+1400.4+0.00648801d,+1480.42+0.00649834d,+1040.2+0.0044622d,+960.171+0.00409253d,+920.157+0.00390778d,+840.142+0.00389148d,+2080.87+0.00965236d,+880.156+0.00408072d,+1160.27+0.00538004d,+1600.52+0.00742273d,+1000.2+0.00463752d,+4243.64+0.0197018d,+240.012+0.00111249d,+3202.07+0.0148599d
2021-01-06 08:45:00 UTC,+720.105+0.0033327d,+1400.37+0.00612143d,+1880.71+0.00870586d,+1360.35+0.00593642d,+1320.35+0.00611055d,+960.186+0.00444307d,+1080.24+0.00499882d,+800.129+0.0037022d,+840.142+0.00388741d,+240.012+0.00110928d,+680.093+0.0031438d,+520.054+0.00240385d,+360.026+0.00166404d,+880.156+0.00406894d,+320.021+0.00147911d,+240.012+0.00110928d,+1440.42+0.00666052d
2021-01-06 09:00:00 UTC,+880.156+0.00406618d,+1280.33+0.0059125d,+1960.74+0.0086951d,+1400.39+0.00646727d,+1200.29+0.0055427d,+1560.49+0.00720708d,+1000.2+0.00461836d,+760.116+0.00350945d,+840.142+0.00387905d,+320.021+0.00147602d,+640.082+0.00295262d,+880.156+0.00406044d,+520.054+0.00239883d,+840.142+0.00387578d,+280.016+0.00129149d,+520.054+0.00239883d,+1360.37+0.00627704d
2021-01-06 09:15:00 UTC,+800.129+0.00370226d,+1840.68+0.00851451d,+2721.49+0.0125934d,+1680.57+0.00777337d,+2080.87+0.0096265d,+1120.24+0.00482366d,+960.171+0.0040854d,+760.105+0.00316408d,+880.156+0.00406979d,+280.012+0.000976508d,+720.104+0.00332631d,+1760.62+0.00813608d,+320.021+0.001478d,+800.129+0.00369607d,+280.016+0.00129322d,+240.012+0.00110845d,+2361.12+0.0109137d
2021-01-06 09:30:00 UTC,+800.129+0.00370679d,+1640.52+0.0072373d,+2200.94+0.0098331d,+1480.44+0.00685692d,+1600.49+0.00705202d,+1280.33+0.00592959d,+1080.24+0.00500249d,+720.105+0.00333426d,+760.117+0.00351958d,+280.016+0.00129602d,+640.083+0.00296298d,+4043.3+0.0187424d,+2241.01+0.0103805d,+600.073+0.00277772d,+280.016+0.00129602d,+200.008+0.000925679d,+1240.31+0.00574286d
2021-01-06 09:45:00 UTC,+880.156+0.00407689d,+1880.66+0.00800314d,+2641.41+0.0122411d,+2521.24+0.0113188d,+1680.57+0.00778527d,+1640.54+0.00759973d,+1160.27+0.00537385d,+680.093+0.00314927d,+1000.2+0.00463218d,+280.016+0.00129535d,+2441.2+0.0113028d,+520.054+0.002406d,+440.039+0.00203574d,+880.156+0.00407257d,+280.016+0.00129535d,+440.039+0.00203574d,+3282.17+0.0152017d
2021-01-06 10:00:00 UTC,+800.129+0.00369705d,+1840.57+0.00715704d,+2361.12+0.010916d,+2321.08+0.0107308d,+1640.54+0.00758242d,+1240.31+0.00573166d,+1120.25+0.00517661d,+720.104+0.00332702d,+1240.31+0.00573166d,+320.016+0.00115349d,+680.093+0.0031382d,+600.072+0.00276886d,+320.021+0.00147648d,+2321.08+0.0107174d,+320.021+0.00147648d,+240.012+0.0011073d,+840.142+0.00387697d
2021-01-06 10:15:00 UTC,+920.171+0.00426443d,+2160.84+0.0089643d,+2521.24+0.011322d,+2441.2+0.0113155d,+1680.54+0.00742543d,+1480.42+0.00649876d,+1160.25+0.00501741d,+920.157+0.00390804d,+1080.24+0.00500439d,+240.012+0.00110956d,+520.054+0.00240446d,+600.073+0.00277451d,+440.039+0.00203444d,+600.073+0.00277451d,+280.016+0.00129452d,+200.008+0.000924614d,+880.156+0.00406997d
